"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Garret Anderson","Angels","36","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","3","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","2"
"Jerry Hairston","Reds","32","13","5","13","5","5","0","0","0","0","1","0","8","0","0","0","0","0","0","0","0","13","5","1","19","20","69.2 %","15.4 %","15.4 %","23.1 %","76.9 %","0.0 %","144"
"Gary Matthews Jr.","Angels","33","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","153"
"Ken Griffey Jr.","Reds","38","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","4","4","0.0 %","0.0 %","100.0 %","50.0 %","50.0 %","0.0 %","327"
"Dane Sardinha","Tigers","29","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","1","5","6","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","353"
"Todd Helton","Rockies","34","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","432"
"Juan Uribe","White Sox","29","7","2","7","2","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","7","2","2","10","12","57.1 %","14.3 %","28.6 %","14.3 %","57.1 %","28.6 %","454"
"Damion Easley","Mets","38","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","0","4","4","33.3 %","33.3 %","33.3 %","33.3 %","33.3 %","33.3 %","464"
"Danny Ardoin","Dodgers","33","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","585"
"Brad Wilkerson","- - -","31","6","2","6","2","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","6","2","1","10","11","16.7 %","33.3 %","50.0 %","66.7 %","33.3 %","0.0 %","804"
"Derek Jeter","Yankees","34","9","2","9","2","2","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","9","2","0","9","9","55.6 %","33.3 %","11.1 %","55.6 %","44.4 %","0.0 %","826"
"Livan Hernandez","- - -","33","3","1","4","1","1","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","4","1","2","8","10","50.0 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","1116"
"Randy Winn","Giants","34","3","2","3","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","2","3","5","33.3 %","66.7 %","0.0 %","100.0 %","0.0 %","0.0 %","1235"
"Gabe Kapler","Brewers","32","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","1","2","3","100.0 %","0.0 %","0.0 %","50.0 %","50.0 %","0.0 %","1256"
"Mike Lamb","Twins","32","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","1258"
"Carlos Delgado","Mets","36","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1297"
"Runelvys Hernandez","Astros","30","2","1","2","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","1","0","3","3","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","1528"
"Brandon Backe","Astros","30","6","2","7","2","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","7","2","0","11","11","42.9 %","14.3 %","42.9 %","28.6 %","42.9 %","28.6 %","1529"
"Aaron Cook","Rockies","29","14","1","17","1","1","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","17","1","2","22","24","35.3 %","29.4 %","35.3 %","29.4 %","70.6 %","0.0 %","1571"
"Eric Bruntlett","Phillies","30","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","0","4","4","33.3 %","66.7 %","0.0 %","66.7 %","33.3 %","0.0 %","1753"
"Humberto Quintero","Astros","28","6","1","6","1","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","6","2","1","8","9","33.3 %","33.3 %","33.3 %","33.3 %","66.7 %","0.0 %","1824"
"Adrian Gonzalez","Padres","26","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1908"
"David Newhan","Astros","34","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","2009"
"Robinson Cancel","Mets","32","3","2","3","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","0","3","3","66.7 %","33.3 %","0.0 %","33.3 %","66.7 %","0.0 %","2011"
"Jeff Baker","Rockies","27","3","2","3","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","0","3","3","66.7 %","33.3 %","0.0 %","33.3 %","33.3 %","33.3 %","2073"
"Freddie Bynum","Orioles","28","6","3","6","3","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","6","3","1","8","9","16.7 %","33.3 %","50.0 %","50.0 %","33.3 %","16.7 %","2099"
"Greg Dobbs","Phillies","29","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","2158"
"Willy Aybar","Rays","25","4","3","4","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","3","0","8","8","75.0 %","0.0 %","25.0 %","25.0 %","75.0 %","0.0 %","2192"
"Luis Rodriguez","Padres","28","8","2","9","2","2","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","9","2","2","14","16","0.0 %","44.4 %","55.6 %","44.4 %","55.6 %","0.0 %","2364"
"Chris Sampson","Astros","30","4","1","4","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","1","4","7","11","0.0 %","75.0 %","25.0 %","25.0 %","75.0 %","0.0 %","2651"
"Angel Pagan","Mets","26","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","0.0 %","50.0 %","50.0 %","100.0 %","0.0 %","0.0 %","2918"
"Dioner Navarro","Rays","24","5","2","5","2","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","2","2","6","8","0.0 %","20.0 %","80.0 %","40.0 %","40.0 %","20.0 %","3179"
"Cliff Pennington","Athletics","24","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","1","4","5","33.3 %","0.0 %","66.7 %","33.3 %","66.7 %","0.0 %","3395"
"Dan Uggla","Marlins","28","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","3442"
"Danny Richar","Reds","25","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","3","3","0.0 %","50.0 %","50.0 %","100.0 %","0.0 %","0.0 %","3767"
"Gregorio Petit","Athletics","23","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","4","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","3812"
"Ryan Zimmerman","Nationals","23","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","3","3","100.0 %","0.0 %","0.0 %","33.3 %","33.3 %","33.3 %","4220"
"Jed Lowrie","Red Sox","24","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","0","3","3","66.7 %","33.3 %","0.0 %","33.3 %","33.3 %","33.3 %","4418"
"Callix Crabbe","Padres","25","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","4448"
