"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Julio Ramirez","Giants","27","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","3","5","8","0.0 %","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","31"
"Joe Borchard","White Sox","26","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","4","5","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","224"
"Jose Lima","Royals","32","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","475"
"Wade Miller","Red Sox","28","1","2","2","2","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","3","50.0 %","50.0 %","0.0 %","0.0 %","100.0 %","0.0 %","568"
"Joey Eischen","Nationals","35","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","2","4","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","774"
"Cliff Politte","White Sox","31","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","2","3","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","967"
"Aaron Fultz","Phillies","31","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","3","5","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1113"
"Esteban German","Rangers","27","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","2","4","0.0 %","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","1449"
"Jon Rauch","Nationals","26","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","3","4","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","1475"
"Mike Maroth","Tigers","27","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1508"
"Todd Wellemeyer","Cubs","26","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1709"
"Nate Bump","Marlins","28","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","3","4","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","1755"
"Freddie Bynum","Athletics","25","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","2099"
"Juan Padilla","Mets","28","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","3","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","2532"
"Marcos Carvajal","Rockies","20","1","1","1","1","1","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","3216"
"Josh Johnson","Marlins","21","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","4567"
"Clay Hensley","Padres","25","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","5","6","11","50.0 %","50.0 %","0.0 %","50.0 %","0.0 %","50.0 %","4593"
"Edwin Jackson","Dodgers","21","3","3","3","2","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","5","6","66.7 %","33.3 %","0.0 %","0.0 %","66.7 %","33.3 %","1841"
"Ronny Paulino","Pirates","24","1","3","3","2","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","1","5","6","100.0 %","0.0 %","0.0 %","66.7 %","33.3 %","0.0 %","2129"
"Ryan Spilborghs","Rockies","25","1","3","3","2","2","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","5","7","12","33.3 %","33.3 %","33.3 %","0.0 %","100.0 %","0.0 %","4521"
"Russ Johnson","Yankees","32","4","4","4","2","1","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","8","10","50.0 %","25.0 %","25.0 %","50.0 %","25.0 %","25.0 %","1216"
"Jason Botts","Rangers","24","5","7","7","4","4","0","0","0","0","1","0","0","1","0","0","7","0","0","0","0","0","0","11","17","28","28.6 %","42.9 %","28.6 %","14.3 %","28.6 %","57.1 %","2907"
"Willy Aybar","Dodgers","22","18","38","38","18","14","4","0","0","0","7","0","0","0","0","0","38","0","0","0","4","0","0","51","86","137","47.4 %","31.6 %","21.1 %","15.8 %","55.3 %","29.0 %","2192"
"Aaron Guiel","Royals","32","18","33","33","16","14","2","0","0","0","0","0","0","3","0","0","33","0","0","0","6","0","0","40","70","110","72.7 %","15.2 %","12.1 %","18.2 %","48.5 %","33.3 %","1503"
"Shawn Chacon","Rockies","27","4","4","4","2","2","0","0","0","0","1","0","0","0","0","0","4","0","0","0","1","0","0","2","7","9","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","424"
"Chin-Feng Chen","Dodgers","27","2","2","2","1","1","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","5","6","11","0.0 %","100.0 %","0.0 %","0.0 %","50.0 %","50.0 %","644"
"Joe Mays","Twins","29","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","7","8","50.0 %","50.0 %","0.0 %","0.0 %","50.0 %","50.0 %","740"
"Randy Keisler","Reds","29","2","2","2","1","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","3","5","8","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","830"
"Brandon Duckworth","Astros","29","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","6","9","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","954"
"Felix Escalona","Yankees","26","4","4","4","2","2","0","0","0","0","1","0","0","1","0","0","4","0","0","0","1","0","0","5","12","17","75.0 %","25.0 %","0.0 %","25.0 %","50.0 %","25.0 %","1204"
"Paul Wilson","Reds","32","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","5","8","100.0 %","0.0 %","0.0 %","0.0 %","50.0 %","50.0 %","1234"
"David McCarty","Red Sox","35","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","4","7","11","100.0 %","0.0 %","0.0 %","50.0 %","50.0 %","0.0 %","1462"
"Zach Day","- - -","27","3","4","4","2","2","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","3","11","14","25.0 %","75.0 %","0.0 %","25.0 %","75.0 %","0.0 %","1496"
"Mark Hendrickson","Devil Rays","31","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","5","8","50.0 %","50.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1574"
"Geoff Geary","Phillies","28","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","5","6","0.0 %","100.0 %","0.0 %","0.0 %","50.0 %","50.0 %","1813"
"Matt Belisle","Reds","25","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","3","5","8","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1837"
"Eude Brito","Phillies","26","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","8","10","100.0 %","0.0 %","0.0 %","0.0 %","50.0 %","50.0 %","2514"
"Pedro Lopez","White Sox","21","1","2","2","1","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","4","4","8","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","3207"
"Gavin Floyd","Phillies","22","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","5","9","50.0 %","50.0 %","0.0 %","0.0 %","100.0 %","0.0 %","3886"
