name,url,team,pos,owner,orank,rank,owned
Mike Trout,http://sports.yahoo.com/mlb/players/8861,LAA,OF,BeAsT mOdE,1,2,99%
Andrew McCutchen,http://sports.yahoo.com/mlb/players/7977,Pit,OF,JeRsEy FU's,2,13,99%
Miguel Cabrera,http://sports.yahoo.com/mlb/players/7163,Det,1B/3B,JeRsEy FU's,4,10,99%
Paul Goldschmidt,http://sports.yahoo.com/mlb/players/8967,Ari,1B,Stiinta Craiova,5,73,99%
Giancarlo Stanton,http://sports.yahoo.com/mlb/players/8634,Mia,OF,King of Chardonnay,6,8,99%
Carlos Gomez,http://sports.yahoo.com/mlb/players/8023,Mil,OF,Team autodraft IV,7,15,99%
Jose Abreu,http://sports.yahoo.com/mlb/players/9540,CWS,1B,King of Chardonnay,8,9,99%
Adam Jones,http://sports.yahoo.com/mlb/players/7812,Bal,OF,Stoolies,9,20,99%
Jose Bautista,http://sports.yahoo.com/mlb/players/7264,Tor,1B/OF,Daddy W,10,11,99%
Anthony Rizzo,http://sports.yahoo.com/mlb/players/8868,ChC,1B,Stiinta Craiova,11,26,99%
Edwin Encarnacion,http://sports.yahoo.com/mlb/players/7278,Tor,1B,A-Rods Dope Supplier,12,34,99%
Robinson Cano,http://sports.yahoo.com/mlb/players/7497,Sea,2B,Daddy W,14,37,99%
Jose Altuve,http://sports.yahoo.com/mlb/players/8996,Hou,2B,King of Chardonnay,15,5,99%
Anthony Rendon,http://sports.yahoo.com/mlb/players/9106,Was,2B/3B,The Alliance,17,16,99%
Yasiel Puig,http://sports.yahoo.com/mlb/players/9341,LAD,OF,BeAsT mOdE,18,45,99%
Adrian Beltre,http://sports.yahoo.com/mlb/players/6039,Tex,3B,King of Chardonnay,19,38,99%
Hanley Ramirez,http://sports.yahoo.com/mlb/players/7488,Bos,SS,Stiinta Craiova,21,119,99%
Michael Brantley,http://sports.yahoo.com/mlb/players/8575,Cle,OF,Dugo's Way,22,6,99%
Jacoby Ellsbury,http://sports.yahoo.com/mlb/players/7912,NYY,OF,Rain On 'Em,23,43,99%
Ian Desmond,http://sports.yahoo.com/mlb/players/8589,Was,SS,D's Ballers,24,44,99%
Josh Donaldson,http://sports.yahoo.com/mlb/players/8723,Tor,3B,Team autodraft IV,27,31,99%
Troy Tulowitzki,http://sports.yahoo.com/mlb/players/7850,Col,SS,Daddy W,28,98,99%
Freddie Freeman,http://sports.yahoo.com/mlb/players/8658,Atl,1B,A-Rods Dope Supplier,29,52,99%
Ryan Braun,http://sports.yahoo.com/mlb/players/8034,Mil,OF,The Gladiators,30,106,99%
Bryce Harper,http://sports.yahoo.com/mlb/players/8875,Was,OF,Slow Rollers,31,450,99%
Buster Posey,http://sports.yahoo.com/mlb/players/8578,SF,C/1B,D's Ballers,32,42,99%
Adrian Gonzalez,http://sports.yahoo.com/mlb/players/7054,LAD,1B,Slow Rollers,33,23,98%
Justin Upton,http://sports.yahoo.com/mlb/players/8080,SD,OF,Stiinta Craiova,34,32,99%
Hunter Pence,http://sports.yahoo.com/mlb/players/7963,SF,OF,D's Ballers,37,29,99%
Albert Pujols,http://sports.yahoo.com/mlb/players/6619,LAA,1B,Rain On 'Em,40,22,98%
Corey Dickerson,http://sports.yahoo.com/mlb/players/9438,Col,OF,Stiinta Craiova,41,39,98%
Prince Fielder,http://sports.yahoo.com/mlb/players/7290,Tex,1B,The Alliance,42,1014,97%
George Springer,http://sports.yahoo.com/mlb/players/9339,Hou,OF,D's Ballers,45,318,97%
Billy Hamilton,http://sports.yahoo.com/mlb/players/9113,Cin,OF,BeAsT mOdE,46,84,98%
Carlos Gonzalez,http://sports.yahoo.com/mlb/players/7934,Col,OF,Dugo's Way,47,663,98%
David Ortiz,http://sports.yahoo.com/mlb/players/5909,Bos,1B,Stoolies,48,55,98%
Todd Frazier,http://sports.yahoo.com/mlb/players/8629,Cin,1B/3B,Stiinta Craiova,50,21,99%
Starling Marte,http://sports.yahoo.com/mlb/players/9118,Pit,OF,JeRsEy FU's,53,62,97%
Ian Kinsler,http://sports.yahoo.com/mlb/players/7490,Det,2B,The Gladiators,54,25,99%
Nolan Arenado,http://sports.yahoo.com/mlb/players/9105,Col,3B,Dugo's Way,55,168,98%
Jose Reyes,http://sports.yahoo.com/mlb/players/7066,Tor,SS,Stoolies,56,51,99%
Matt Kemp,http://sports.yahoo.com/mlb/players/7780,SD,OF,The Alliance,57,36,98%
Yoenis Cespedes,http://sports.yahoo.com/mlb/players/9128,Det,OF,Stoolies,58,46,98%
Joey Votto,http://sports.yahoo.com/mlb/players/7946,Cin,1B,Team autodraft IV,59,901,96%
Evan Longoria,http://sports.yahoo.com/mlb/players/7914,TB,3B,The Gladiators,60,81,98%
Kyle Seager,http://sports.yahoo.com/mlb/players/8984,Sea,3B,King of Chardonnay,63,56,97%
Matt Holliday,http://sports.yahoo.com/mlb/players/7311,StL,OF,Stoolies,64,64,97%
Carlos Santana,http://sports.yahoo.com/mlb/players/8619,Cle,C/1B/3B,Daddy W,65,137,98%
Nelson Cruz,http://sports.yahoo.com/mlb/players/7681,Sea,OF,Rain On 'Em,66,17,98%
Dee Gordon,http://sports.yahoo.com/mlb/players/8863,Mia,2B,Rain On 'Em,67,24,98%
Charlie Blackmon,http://sports.yahoo.com/mlb/players/8957,Col,OF,D's Ballers,70,27,95%
Alex Gordon,http://sports.yahoo.com/mlb/players/7907,KC,OF,D's Ballers,72,74,94%
Jason Heyward,http://sports.yahoo.com/mlb/players/8621,StL,OF,Stoolies,75,126,94%
Victor Martinez,http://sports.yahoo.com/mlb/players/6853,Det,1B,Stiinta Craiova,76,7,96%
Jorge Soler,http://sports.yahoo.com/mlb/players/9228,ChC,OF,The Alliance,78,977,92%
Christian Yelich,http://sports.yahoo.com/mlb/players/9320,Mia,OF,The Gladiators,79,76,93%
David Wright,http://sports.yahoo.com/mlb/players/7382,NYM,3B,D's Ballers,80,252,96%
Mookie Betts,http://sports.yahoo.com/mlb/players/9552,Bos,2B/OF,Stiinta Craiova,81,759,92%
Brian Dozier,http://sports.yahoo.com/mlb/players/9174,Min,2B,Team autodraft IV,82,33,96%
Jay Bruce,http://sports.yahoo.com/mlb/players/8171,Cin,OF,Daddy W,84,209,93%
Kole Calhoun,http://sports.yahoo.com/mlb/players/9191,LAA,OF,King of Chardonnay,86,113,92%
Dustin Pedroia,http://sports.yahoo.com/mlb/players/7631,Bos,2B,Slow Rollers,87,203,96%
Pablo Sandoval,http://sports.yahoo.com/mlb/players/8326,Bos,3B,Slow Rollers,90,142,95%
Jason Kipnis,http://sports.yahoo.com/mlb/players/8853,Cle,2B,BeAsT mOdE,93,316,94%
Devin Mesoraco,http://sports.yahoo.com/mlb/players/8851,Cin,C,A-Rods Dope Supplier,95,132,98%
Chris Carter,http://sports.yahoo.com/mlb/players/8640,Hou,1B/OF,Dugo's Way,96,94,93%
Brett Gardner,http://sports.yahoo.com/mlb/players/8289,NYY,OF,Daddy W,99,95,91%
J.D. Martinez,http://sports.yahoo.com/mlb/players/9002,Det,OF,BeAsT mOdE,101,69,92%
Kolten Wong,http://sports.yahoo.com/mlb/players/9103,StL,2B,Stiinta Craiova,103,266,89%
Jonathan Lucroy,http://sports.yahoo.com/mlb/players/8609,Mil,C/1B,BeAsT mOdE,104,104,98%
Alexei Ramirez,http://sports.yahoo.com/mlb/players/8169,CWS,SS,Dugo's Way,105,58,96%
Evan Gattis,http://sports.yahoo.com/mlb/players/9356,Hou,C,FA,106,289,93%
Matt Adams,http://sports.yahoo.com/mlb/players/9100,StL,1B,The Gladiators,107,167,90%
Chris Davis,http://sports.yahoo.com/mlb/players/8285,Bal,1B/3B,FA,111,253,94%
Matt Carpenter,http://sports.yahoo.com/mlb/players/8953,StL,3B,Rain On 'Em,113,130,93%
Jayson Werth,http://sports.yahoo.com/mlb/players/6423,Was,OF,Dugo's Way,115,49,90%
Marcell Ozuna,http://sports.yahoo.com/mlb/players/9385,Mia,OF,FA,117,92,91%
Daniel Murphy,http://sports.yahoo.com/mlb/players/8314,NYM,2B/3B,D's Ballers,118,117,90%
Shin-Soo Choo,http://sports.yahoo.com/mlb/players/7498,Tex,OF,FA,120,399,83%
Mark Trumbo,http://sports.yahoo.com/mlb/players/8824,Ari,1B/OF,D's Ballers,121,405,92%
Yan Gomes,http://sports.yahoo.com/mlb/players/9186,Cle,C,JeRsEy FU's,122,139,93%
Manny Machado,http://sports.yahoo.com/mlb/players/9111,Bal,3B,A-Rods Dope Supplier,123,480,92%
Salvador Perez,http://sports.yahoo.com/mlb/players/9015,KC,C,A-Rods Dope Supplier,126,211,93%
Yadier Molina,http://sports.yahoo.com/mlb/players/7345,StL,C,Stiinta Craiova,127,500,95%
Brandon Belt,http://sports.yahoo.com/mlb/players/8795,SF,1B,FA,130,794,81%
