Y1,Y2,R
AVG,AVG,0.41
AVG,OBP,0.31
AVG,SLG,0.21
AVG,OPS,0.27
AVG,ISO,0.06
AVG,BABIP,0.25
AVG,wOBA,0.28
AVG,BB%,0.05
AVG,K%,-0.3
AVG,GB/FB,0.14
AVG,LD%,0.09
AVG,GB%,0.13
AVG,FB%,-0.16
AVG,IFFB%,-0.2
AVG,HR/FB,0.03
AVG,IFH,0.22
AVG,IFH%,0.05
AVG,BUH,0
AVG,BUH%,0
AVG,O-Swing%,0.04
AVG,Z-Swing%,0.08
AVG,Swing%,0.05
AVG,O-Contact%,0.22
AVG,Z-Contact%,0.22
AVG,Contact%,0.22
AVG,Zone%,-0.09
AVG,F-Strike%,-0.1
AVG,SwStr%,-0.19
OBP,AVG,0.27
OBP,OBP,0.6
OBP,SLG,0.38
OBP,OPS,0.49
OBP,ISO,0.33
OBP,BABIP,0.19
OBP,wOBA,0.51
OBP,BB%,0.57
OBP,K%,0
OBP,GB/FB,-0.07
OBP,LD%,0.07
OBP,GB%,-0.11
OBP,FB%,0.07
OBP,IFFB%,-0.21
OBP,HR/FB,0.31
OBP,IFH,-0.01
OBP,IFH%,-0.09
OBP,BUH,-0.13
OBP,BUH%,-0.05
OBP,O-Swing%,-0.31
OBP,Z-Swing%,-0.07
OBP,Swing%,-0.33
OBP,O-Contact%,-0.04
OBP,Z-Contact%,-0.04
OBP,Contact%,0
OBP,Zone%,-0.31
OBP,F-Strike%,-0.43
OBP,SwStr%,-0.11
SLG,AVG,0.2
SLG,OBP,0.4
SLG,SLG,0.6
SLG,OPS,0.58
SLG,ISO,0.63
SLG,BABIP,0.08
SLG,wOBA,0.54
SLG,BB%,0.39
SLG,K%,0.24
SLG,GB/FB,-0.35
SLG,LD%,-0.09
SLG,GB%,-0.33
SLG,FB%,0.36
SLG,IFFB%,-0.05
SLG,HR/FB,0.59
SLG,IFH,-0.1
SLG,IFH%,-0.09
SLG,BUH,-0.31
SLG,BUH%,-0.11
SLG,O-Swing%,0.01
SLG,Z-Swing%,0.26
SLG,Swing%,0.04
SLG,O-Contact%,-0.29
SLG,Z-Contact%,-0.34
SLG,Contact%,-0.37
SLG,Zone%,-0.41
SLG,F-Strike%,-0.27
SLG,SwStr%,0.32
OPS,AVG,0.24
OPS,OBP,0.51
OPS,SLG,0.57
OPS,OPS,0.6
OPS,ISO,0.57
OPS,BABIP,0.13
OPS,wOBA,0.58
OPS,BB%,0.49
OPS,K%,0.17
OPS,GB/FB,-0.28
OPS,LD%,-0.04
OPS,GB%,-0.28
OPS,FB%,0.29
OPS,IFFB%,-0.12
OPS,HR/FB,0.54
OPS,IFH,-0.08
OPS,IFH%,-0.1
OPS,BUH,-0.27
OPS,BUH%,-0.1
OPS,O-Swing%,-0.11
OPS,Z-Swing%,0.16
OPS,Swing%,-0.09
OPS,O-Contact%,-0.23
OPS,Z-Contact%,-0.26
OPS,Contact%,-0.27
OPS,Zone%,-0.41
OPS,F-Strike%,-0.35
OPS,SwStr%,0.19
ISO,AVG,0.05
ISO,OBP,0.34
ISO,SLG,0.62
ISO,OPS,0.56
ISO,ISO,0.72
ISO,BABIP,-0.01
ISO,wOBA,0.51
ISO,BB%,0.44
ISO,K%,0.42
ISO,GB/FB,-0.47
ISO,LD%,-0.15
ISO,GB%,-0.45
ISO,FB%,0.5
ISO,IFFB%,0.03
ISO,HR/FB,0.69
ISO,IFH,-0.21
ISO,IFH%,-0.13
ISO,BUH,-0.36
ISO,BUH%,-0.13
ISO,O-Swing%,-0.01
ISO,Z-Swing%,0.28
ISO,Swing%,0.03
ISO,O-Contact%,-0.45
ISO,Z-Contact%,-0.5
ISO,Contact%,-0.54
ISO,Zone%,-0.44
ISO,F-Strike%,-0.28
ISO,SwStr%,0.46
BABIP,AVG,0.22
BABIP,OBP,0.2
BABIP,SLG,0.08
BABIP,OPS,0.13
BABIP,ISO,-0.01
BABIP,BABIP,0.36
BABIP,wOBA,0.16
BABIP,BB%,0.06
BABIP,K%,0.09
BABIP,GB/FB,0.2
BABIP,LD%,0.1
BABIP,GB%,0.18
BABIP,FB%,-0.22
BABIP,IFFB%,-0.32
BABIP,HR/FB,0.03
BABIP,IFH,0.19
BABIP,IFH%,0.11
BABIP,BUH,0.08
BABIP,BUH%,0.07
BABIP,O-Swing%,0.03
BABIP,Z-Swing%,0.01
BABIP,Swing%,0
BABIP,O-Contact%,0
BABIP,Z-Contact%,-0.05
BABIP,Contact%,-0.05
BABIP,Zone%,-0.09
BABIP,F-Strike%,0
BABIP,SwStr%,0.05
wOBA,AVG,0.25
wOBA,OBP,0.53
wOBA,SLG,0.54
wOBA,OPS,0.58
wOBA,ISO,0.52
wOBA,BABIP,0.15
wOBA,wOBA,0.57
wOBA,BB%,0.5
wOBA,K%,0.15
wOBA,GB/FB,-0.23
