Y1,Y2,R
W,W,0.29
W,L,-0.16
W,ERA,-0.27
W,G,0.1
W,GS,0.1
W,CG,0.23
W,ShO,0.15
W,IP,0.27
W,TBF,0.22
W,H,-0.04
W,R,-0.15
W,ER,-0.18
W,HR,-0.06
W,BB,-0.05
W,IBB,-0.1
W,HBP,0
W,WP,0
W,BK,-0.03
W,SO,0.32
W,GB,0.09
W,FB,-0.06
W,LD,-0.04
W,IFFB,-0.05
W,Balls,0.05
W,Strikes,0.25
W,Pitches,0.19
W,RS,0.23
W,IFH,0.07
W,BU,-0.01
W,BUH,-0.01
W,K/9,0.28
W,BB/9,-0.13
W,K/BB,0.29
W,H/9,-0.24
W,HR/9,-0.14
W,AVG,-0.25
W,WHIP,-0.29
W,BABIP,-0.09
W,LOB%,0.16
W,FIP,-0.28
W,GB/FB,0.07
W,LD%,-0.09
W,GB%,0.1
W,FB%,-0.07
W,IFFB%,-0.03
W,HR/FB,-0.04
W,IFH%,0.03
W,BUH%,0.01
W,RAR,0.32
W,WAR,0.33
W,tERA,-0.27
W,xFIP,-0.31
W,WPA,0.25
W,RE24,0.28
W,REW,0.28
W,pLI,0
W,inLI,0.05
W,gmLI,-0.02
W,exLI,-0.07
W,Pulls,-0.08
W,WPA/LI,0.31
W,Clutch,-0.09
W,FA%,-0.07
W,SL%,0.03
W,CT%,0.08
W,CB%,0.07
W,CH%,0
W,SF%,0.16
W,PO%,0.02
W,wFB,0.18
W,wSL,0.17
W,wCT,0.19
W,wCB,0.15
W,wCH,0.15
W,wSF,0.18
W,O-Swing%,0.14
W,Z-Swing%,-0.02
W,Swing%,0.13
W,O-Contact%,-0.21
W,Z-Contact%,-0.19
W,Contact%,-0.27
W,Zone%,0.03
W,F-Strike%,0.14
W,SwStr%,0.28
W,ERA-,-0.29
W,FIP-,-0.31
W,xFIP-,-0.34
W,K%,0.29
W,BB%,-0.1
W,SIERA,-0.31
W,RS/9,0.11
W,E-F,-0.05
L,W,-0.12
L,L,0.13
L,ERA,0.18
L,G,0.04
L,GS,0.04
L,CG,-0.08
L,ShO,-0.12
L,IP,-0.07
L,TBF,-0.02
L,H,0.14
L,R,0.15
L,ER,0.18
L,HR,0.05
L,BB,0.03
L,IBB,0.11
L,HBP,0.05
L,WP,-0.04
L,BK,0.08
L,SO,-0.21
L,GB,0.08
L,FB,0
L,LD,0.15
L,IFFB,-0.01
L,Balls,0.04
L,Strikes,-0.11
L,Pitches,-0.06
L,RS,-0.07
L,IFH,0.14
L,BU,0.07
L,BUH,0
L,K/9,-0.22
L,BB/9,0.05
L,K/BB,-0.15
L,H/9,0.19
L,HR/9,0.06
L,AVG,0.2
L,WHIP,0.19
L,BABIP,0.1
L,LOB%,-0.1
L,FIP,0.18
L,GB/FB,0.06
L,LD%,0.11
L,GB%,0.03
L,FB%,-0.07
L,IFFB%,-0.01
L,HR/FB,0.07
L,IFH%,0.11
L,BUH%,-0.07
L,RAR,-0.18
L,WAR,-0.18
L,tERA,0.21
L,xFIP,0.17
L,WPA,-0.17
L,RE24,-0.17
L,REW,-0.17
L,pLI,0.06
L,inLI,-0.03
L,gmLI,0.08
L,exLI,0.09
L,Pulls,0.09
L,WPA/LI,-0.21
L,Clutch,0.07
L,FA%,-0.07
L,SL%,0.05
L,CT%,-0.07
L,CB%,-0.05
L,CH%,0.07
L,SF%,-0.01
L,PO%,0.05
L,wFB,-0.19
L,wSL,-0.07
L,wCT,-0.2
L,wCB,-0.03
L,wCH,-0.03
L,wSF,-0.08
L,O-Swing%,-0.1
L,Z-Swing%,-0.09
L,Swing%,-0.18
L,O-Contact%,0.16
L,Z-Contact%,0.17
L,Contact%,0.2
L,Zone%,-0.07
L,F-Strike%,-0.11
L,SwStr%,-0.23
L,ERA-,0.19
L,FIP-,0.19
L,xFIP-,0.19
L,K%,-0.23
L,BB%,0.03
L,SIERA,0.19
L,RS/9,-0.04
L,E-F,0.04
ERA,W,-0.23
ERA,L,0.12
ERA,ERA,0.38
ERA,G,-0.12
ERA,GS,-0.12
ERA,CG,-0.22
ERA,ShO,-0.18
ERA,IP,-0.31
ERA,TBF,-0.24
ERA,H,0.12
ERA,R,0.26
ERA,ER,0.29
ERA,HR,0.16
ERA,BB,-0.02
ERA,IBB,0.08
ERA,HBP,0.06
ERA,WP,-0.05
ERA,BK,0.03
ERA,SO,-0.47
ERA,GB,-0.02
ERA,FB,0.06
ERA,LD,0.14
ERA,IFFB,0
ERA,Balls,-0.13
ERA,Strikes,-0.36
ERA,Pitches,-0.3
ERA,RS,-0.09
ERA,IFH,-0.06
ERA,BU,-0.03
ERA,BUH,0.01
ERA,K/9,-0.43
ERA,BB/9,0.08
ERA,K/BB,-0.34
ERA,H/9,0.35
ERA,HR/9,0.24
ERA,AVG,0.36
ERA,WHIP,0.35
ERA,BABIP,0.09
