numer,r,p,obs,ubb,ibb,hbp,so,bu,hrofb,gb,ld,sofb,ofb,ifb
ubb,0.47192507612307349,2.9558945340293123e-62,1103,1,1,0,0,0,0,0,0,0,0,0
ubb,0.60181406878966848,5.0726531484384612e-124,1250,1,0,1,0,0,0,0,0,0,0,0
ubb,0.69751782048347155,5.7159965044287544e-201,1375,1,0,0,1,0,0,0,0,0,0,0
ubb,0.7408442692732109,2.9049018005067195e-136,778,1,0,0,0,1,0,0,0,0,0,0
ubb,0.68983367786785077,1.3663615023237257e-192,1359,1,0,0,0,0,1,0,0,0,0,0
ubb,0.7990759861734632,1.1300748900707612e-305,1375,1,0,0,0,0,0,1,0,0,0,0
ubb,0.74133691008416713,4.6881909375137608e-240,1375,1,0,0,0,0,0,0,1,0,0,0
ubb,0.33164878434476297,1.9555941455084559e-35,1327,1,0,0,0,0,0,0,0,1,0,0
ubb,0.73129032109163883,2.0539551340465188e-230,1375,1,0,0,0,0,0,0,0,0,1,0
ubb,0.7073773633788224,1.5886150874665726e-208,1371,1,0,0,0,0,0,0,0,0,0,1
ubb,0.55699732918879508,1.1540378928053041e-111,1360,1,1,1,0,0,0,0,0,0,0,0
ubb,0.68890594546460271,4.1288390239829691e-194,1375,1,1,0,1,0,0,0,0,0,0,0
ubb,0.64333682421273841,1.5683255352122964e-157,1341,1,1,0,0,1,0,0,0,0,0,0
ubb,0.71173206356487928,1.845596937527071e-211,1366,1,1,0,0,0,1,0,0,0,0,0
ubb,0.7949229201317487,2.9246037940292833e-300,1375,1,1,0,0,0,0,1,0,0,0,0
ubb,0.73171120990209715,8.2690586556190923e-231,1375,1,1,0,0,0,0,0,1,0,0,0
ubb,0.47692358545234553,4.0917535289162888e-78,1359,1,1,0,0,0,0,0,0,1,0,0
ubb,0.72423417518029276,6.7173860244558946e-224,1375,1,1,0,0,0,0,0,0,0,1,0
ubb,0.67905344316764005,1.4914511699325828e-186,1375,1,1,0,0,0,0,0,0,0,0,1
