fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,mlb_id
1,Alfredo Amezaga,bat,Amezaga,Alfredo,,,,,,,,,,407792
5,Scott Patterson,pit,Patterson,Scott,,,,,,,,,,456499
18,Neftali Feliz,pit,Feliz,Neftali,5825,Feliz,Neftali,8405,Feliz,Neftali,TEX,RP,FELIZ19880502A,491703
19,Adam Kennedy,bat,Kennedy,Adam,2565,Kennedy,Adam,,,,,,,150456
25,Jose Molina,bat,Molina,Jose,3353,Molina,Jose,6330,Molina,Jose,TB,C,,150040
27,Ramon Ortiz,pit,Ortiz,Ramon,3674,Ramon,Ortiz,6317,Ortiz,Ramon,,RP,,150009
36,Xavier Cedeno,pit,Cedeno,Xavier,7546,Cedeno,Xavier,9080,Cedeno,Xavier,HOU,RP,CEDENO19860826A,458584
45,Rod Barajas,bat,Barajas,Rod,234,Barajas,Rod,6368,Barajas,Rod,ARI,C,,150148
46,Miguel Batista,pit,Batista,Miguel,,,,,,,,,,110683
49,Kyle Blanks,bat,Blanks,Kyle,5809,Blanks,Kyle,8413,Blanks,Kyle,SD,1B,BLANKS19860911A,452035
50,Alex Cintron,bat,Cintron,Alex,,,,,,,,,,400090
81,Henry Blanco,bat,Blanco,Henry,431,Blanco,Henry,5862,Blanco,Henry,TOR,C,,111072
88,Rafael Furcal,bat,Furcal,Rafael,1654,Furcal,Rafael,6404,Furcal,Rafael,STL,2B,,279577
96,Andruw Jones,bat,Jones,Andruw,,,,,,,,,,116662
97,Chipper Jones,bat,Jones,Chipper,,,,,,,,,,
98,Ryan Langerhans,bat,Langerhans,Ryan,2718,Langerhans,Ryan,6920,Langerhans,Ryan,,LF,,407798
99,Zach Phillips,pit,Phillips,Zach,6004,Phillips,Zachary,9036,Phillips,Zach,,RP,,452061
105,Jason Marquis,pit,Marquis,Jason,3037,Marquis,Jason,6493,Marquis,Jason,SD,SP,,150302
106,Kevin Millwood,pit,Millwood,Kevin,3302,Millwood,Kevin,5848,Millwood,Kevin,SEA,SP,,119154
109,Darren Ford,bat,Ford,Darren,,,,,,,,,,452096
110,Horacio Ramirez,pit,Ramirez,Horacio,,,,,,,,,,400141
113,Steven Lerud,bat,Lerud,Steven,5619,Lerud,Steven,9277,Lerud,Steve,,C,,452722
120,Dan Wheeler,pit,Wheeler,Dan,,,,6331,,,,RP,,235095
126,Erik Bedard,pit,Bedard,Erik,316,Bedard,Erik,6910,Bedard,Erik,,SP/RP,,407853
141,Jay Gibbons,bat,Gibbons,Jay,,,,,,,,,,400158
142,Geronimo Gil,bat,Gil,Geronimo,,,,,,,,,,282594
144,Jerry Hairston,bat,Hairston,Jerry,1971,Hairston,Jerry,6127,Hairston Jr.,Jerry,LAD,3B/OF,,150020
150,Rodrigo Lopez,pit,Lopez,Rodrigo,,,,6460,,,,RP,,150438
152,Luis Matos,bat,Matos,Luis,,,,,,,,,,275928
166,Brian Roberts,bat,Roberts,Brian,4207,Roberts,Brian,6741,Roberts,Brian,BAL,2B,,406878
173,Scott Cousins,bat,Cousins,Scott,5928,Cousins,Scott,8632,Cousins,Scott,LAA,CF/RF,,502161
177,Rafael Betancourt,pit,Betancourt,Rafael,396,Betancourt,Rafael,6146,Betancourt,Rafael,COL,RP,,429783
185,Johnny Damon,bat,Damon,Johnny,,,,,,,,,,113028
188,Casey Fossum,pit,Fossum,Casey,,,,,,,,,,407154
193,Carlos Triunfel,bat,Triunfel,Carlos,7234,Triunfel,Carlos,9303,Triunfel,Carlos,SEA,SS,,508892
198,Danny Worth,bat,Worth,Danny,6119,Worth,Danny,8732,Worth,Danny,DET,SS,WORTH19850930A,519445
199,Derek Lowe,pit,Lowe,Derek,2914,Lowe,Derek,5801,Lowe,Derek,TEX,SP/RP,,117955
206,Darren Oliver,pit,Oliver,Darren,3636,Oliver,Darren,5127,Oliver,Darren,TOR,RP,,119984
209,Antoan Richardson,bat,Richardson,Antoan,,,,9056,Richardson,Antoan,,OF,,460322
210,Manny Ramirez,bat,Ramirez,Manny,,,,,,,,,,120903
211,Will Venable,bat,Venable,Will,5115,Venable,Will,8340,Venable,Will,SD,OF,VENABLE19821029A,461416
219,Tim Wakefield,pit,Wakefield,Tim,,,,,,,,,,
