"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Aroldis Chapman","Reds","4","2","1.63","0","65","34","65.0","32","12","4","115","26","0.89","15.87","3.55","1.68","1.7","1.9","10233"
"Craig Kimbrel","Braves","4","3","2.17","0","65","35","65.0","42","16","4","96","23","1.00","13.23","3.13","2.06","1.4","1.3","6655"
"Kenley Jansen","Dodgers","4","2","2.31","0","65","33","65.0","44","17","5","88","19","0.98","12.21","2.70","2.40","1.1","1.2","3096"
"Greg Holland","Royals","4","3","2.40","0","65","35","65.0","46","17","4","85","22","1.04","11.71","3.04","2.45","1.3","1.4","7196"
"Andrew Miller","Yankees","4","3","2.60","0","65","12","65.0","45","19","5","89","24","1.06","12.35","3.35","2.58","1.1","1.2","6785"
"Clayton Kershaw","Dodgers","16","8","2.37","32","32","0","218.0","173","57","16","245","48","1.01","10.10","1.97","2.58","5.3","5.9","2036"
"Hunter Strickland","Giants","1","1","2.64","0","25","1","25.0","20","7","2","28","7","1.08","10.22","2.59","2.68","0.3","0.3","7836"
"Jake McGee","Rays","4","3","2.47","0","65","24","65.0","48","18","5","80","20","1.05","11.11","2.74","2.68","1.0","1.1","7550"
"Brad Boxberger","Rays","4","3","2.69","0","65","8","65.0","46","19","5","86","25","1.09","11.88","3.41","2.72","0.9","1.0","10133"
"Jose Fernandez","Marlins","9","7","2.91","21","21","0","132.0","106","43","10","154","41","1.11","10.47","2.80","2.77","3.1","2.9","11530"
"Mark Melancon","Pirates","4","3","2.75","0","65","35","65.0","59","20","4","62","15","1.13","8.55","2.02","2.78","0.7","0.8","4264"
"Felix Hernandez","Mariners","15","9","2.93","32","32","0","212.0","183","69","16","219","46","1.08","9.30","1.97","2.79","5.0","4.7","4772"
"Sean Doolittle","Athletics","3","2","2.37","0","55","20","55.0","41","15","5","66","14","1.01","10.77","2.33","2.81","0.9","1.1","1581"
"Wade Davis","Royals","4","3","2.61","0","65","2","65.0","50","19","5","75","21","1.09","10.43","2.91","2.82","1.0","1.1","7441"
"Carter Capps","Marlins","3","2","2.95","0","55","2","55.0","43","18","4","65","20","1.14","10.63","3.19","2.87","0.6","0.6","12803"
"David Robertson","White Sox","3","3","3.03","0","65","35","65.0","51","22","5","80","23","1.14","11.09","3.19","2.87","0.9","0.9","8241"
"Dellin Betances","Yankees","4","3","2.85","0","65","24","65.0","47","21","5","85","26","1.12","11.72","3.66","2.88","1.0","1.0","6216"
"Joaquin Benoit","Padres","3","3","2.81","0","65","34","65.0","51","20","6","78","21","1.10","10.74","2.85","2.88","0.6","0.7","1437"
"Max Scherzer","Nationals","15","9","2.95","32","32","0","207.0","167","68","19","241","55","1.07","10.48","2.39","2.89","4.4","4.4","3137"
"Koji Uehara","Red Sox","4","2","2.59","0","65","33","65.0","53","19","6","72","13","1.02","9.98","1.86","2.89","1.1","1.2","9227"
"Stephen Strasburg","Nationals","13","9","3.10","31","31","0","189.0","161","65","16","207","47","1.10","9.84","2.23","2.91","3.9","3.5","10131"
"Ken Giles","Phillies","3","3","2.95","0","65","6","65.0","48","21","5","85","28","1.17","11.73","3.93","2.93","0.7","0.7","12910"
"Matt Harvey","Mets","11","9","3.02","28","28","0","177.0","148","59","15","194","48","1.10","9.86","2.42","2.96","3.3","3.1","11713"
"John Holdzkom","Pirates","3","2","2.99","0","55","0","55.0","43","18","4","64","21","1.18","10.47","3.51","2.97","0.7","0.5","9392"
"Steve Cishek","Marlins","3","3","3.06","0","65","33","65.0","54","22","4","70","22","1.18","9.69","3.06","2.97","0.7","0.6","6483"
"Jose Contreras","Pirates","0","0","3.04","0","1","0","1.0","1","0","0","1","0","1.13","9.14","2.40","2.98","0.0","0.1","1660"
"Trevor Rosenthal","Cardinals","4","3","2.91","0","65","34","65.0","49","21","5","78","26","1.15","10.83","3.61","2.99","0.6","0.7","10745"
"Chris Sale","White Sox","14","10","3.02","32","32","0","211.0","174","71","21","243","52","1.07","10.36","2.24","3.00","5.4","5.2","10603"
"Yusmeiro Petit","Giants","5","4","2.92","8","53","0","91.0","78","30","9","93","19","1.06","9.15","1.85","3.02","1.2","1.2","4020"
"Madison Bumgarner","Giants","13","10","2.95","32","32","0","206.0","177","68","17","209","51","1.10","9.13","2.23","3.03","3.5","3.6","5524"
"Corey Kluber","Indians","14","10","3.18","32","32","0","207.0","183","73","18","213","50","1.13","9.27","2.18","3.03","4.4","3.9","2429"
"Jake Diekman","Phillies","3","3","3.14","0","55","1","55.0","42","19","4","69","25","1.21","11.28","4.09","3.04","0.5","0.4","5003"
"Shawn Kelley","Padres","3","3","3.01","0","55","1","55.0","44","18","5","65","20","1.15","10.65","3.21","3.07","0.3","0.4","7773"
"Armando Rivero","Cubs","0","0","3.16","0","1","0","1.0","1","0","0","1","0","1.21","10.76","3.84","3.09","0.0","0.1","sa739701"
"Pedro Strop","Cubs","3","3","3.21","0","65","2","65.0","54","23","4","72","26","1.23","9.90","3.66","3.09","0.6","0.5","4070"
"Brett Cecil","Blue Jays","4","3","3.13","0","65","26","65.0","53","23","5","74","24","1.18","10.29","3.27","3.12","0.7","0.8","2660"
"Erik Cordier","Giants","2","1","3.20","0","30","0","30.0","23","11","2","36","14","1.23","10.80","4.27","3.12","0.1","0.1","4086"
"Tony Watson","Pirates","3","2","3.04","0","55","1","55.0","48","19","4","54","15","1.14","8.91","2.47","3.13","0.4","0.4","3132"
"Will Smith","Brewers","4","3","3.13","3","58","1","73.0","61","26","7","84","25","1.17","10.35","3.01","3.14","0.8","0.8","8048"
"Dana Eveland","Mets","2","2","3.07","0","35","0","35.0","31","12","3","36","10","1.15","9.15","2.51","3.14","0.2","0.2","5508"
"Cody Allen","Indians","3","3","3.10","0","65","33","65.0","52","22","6","78","24","1.16","10.76","3.28","3.15","0.6","0.7","12183"
"Jonny Venters","Braves","0","0","3.17","0","1","0","1.0","1","0","0","1","0","1.23","9.64","3.46","3.15","0.0","0.1","7175"
"Jason Grilli","Braves","3","3","2.95","0","65","2","65.0","52","21","6","75","22","1.14","10.38","3.04","3.16","0.7","0.7","521"
"Kelvin Herrera","Royals","3","2","3.03","0","55","1","55.0","46","19","4","56","19","1.18","9.18","3.13","3.16","0.6","0.6","6033"
"Yu Darvish","Rangers","0","0","3.26","0","0","0","1.0","1","0","0","1","0","1.16","10.54","3.15","3.17","0.0","0.0","13074"
"Mike Bolsinger","Dodgers","1","1","3.06","0","15","0","15.0","13","5","1","15","4","1.16","8.83","2.53","3.18","0.1","0.1","11137"
"Jordan Walden","Cardinals","3","2","3.15","0","55","1","55.0","43","19","4","63","22","1.19","10.31","3.67","3.18","0.4","0.4","3271"
"Xavier Cedeno","Nationals","1","1","3.07","0","25","0","25.0","21","9","2","27","9","1.21","9.67","3.29","3.18","0.2","0.3","36"
"Jack Leathersich","Mets","0","0","3.21","0","1","0","1.0","1","0","0","1","1","1.25","11.57","4.59","3.19","0.0","0.1","sa577738"
"Fernando Rodney","Mariners","3","3","3.24","0","65","32","65.0","54","23","5","67","24","1.21","9.34","3.34","3.20","0.5","0.5","494"
"Zack Greinke","Dodgers","13","10","3.02","32","32","0","199.0","177","67","18","188","46","1.12","8.49","2.08","3.21","3.2","3.5","1943"
"Glen Perkins","Twins","3","3","3.06","0","65","34","65.0","57","22","6","68","18","1.15","9.39","2.43","3.21","0.8","0.8","8041"
"Matt Thornton","Nationals","2","2","3.13","0","40","0","40.0","36","14","3","37","12","1.20","8.38","2.61","3.21","0.3","0.4","1918"
"Danny Farquhar","Mariners","3","2","3.12","0","55","0","55.0","46","19","5","58","18","1.17","9.56","3.02","3.22","0.5","0.5","8501"
"Jaime Garcia","Cardinals","4","3","3.22","10","10","0","57.0","53","20","4","50","14","1.18","7.88","2.29","3.22","0.9","0.8","8137"
"Hector Rondon","Cubs","3","3","3.26","0","65","31","65.0","56","24","5","67","22","1.20","9.32","3.04","3.22","0.5","0.5","2391"
"Kevin Munson","Diamondbacks","1","0","3.20","0","10","0","10.0","8","4","1","11","4","1.19","10.10","3.42","3.22","0.1","0.1","sa526289"
"Bruce Rondon","Tigers","2","1","3.32","0","30","0","30.0","24","11","2","34","12","1.21","10.23","3.62","3.23","0.3","0.3","5766"
"David Price","Tigers","15","9","3.22","32","32","0","217.0","199","78","22","203","41","1.11","8.41","1.71","3.23","4.5","4.5","3184"
"Kevin Jepsen","Rays","3","3","3.19","0","55","3","55.0","46","20","5","59","20","1.19","9.67","3.23","3.23","0.4","0.5","6475"
"Shae Simmons","Braves","0","0","3.38","0","1","0","1.0","1","0","0","1","0","1.26","10.19","3.97","3.24","0.0","0.1","14200"
"Corey Knebel","Brewers","1","1","3.32","0","20","0","20.0","16","7","2","24","9","1.24","10.69","3.98","3.25","0.2","0.1","15010"
"Jon Lester","Cubs","13","10","3.26","32","32","0","208.0","188","75","19","201","55","1.17","8.68","2.36","3.28","3.9","3.6","4930"
"Tony Cingrani","Reds","2","2","2.81","0","40","0","40.0","31","12","4","49","15","1.13","10.94","3.31","3.29","0.4","0.5","12555"
"Jenrry Mejia","Mets","3","3","3.43","0","65","22","65.0","58","25","5","65","22","1.23","8.98","3.06","3.29","0.2","0.1","8476"
"Junichi Tazawa","Red Sox","4","3","3.24","0","65","2","65.0","58","23","6","65","18","1.17","8.97","2.55","3.29","0.7","0.7","4079"
"Carlos Carrasco","Indians","11","9","3.53","28","28","0","165.0","152","65","14","157","46","1.21","8.61","2.53","3.29","2.8","2.4","6632"
"Christian Garcia","Nationals","0","0","3.28","0","1","0","1.0","1","0","0","1","0","1.20","9.46","3.15","3.29","0.0","0.1","4067"
"Hyun-Jin Ryu","Dodgers","12","10","3.22","31","31","0","184.0","168","66","16","163","43","1.15","7.96","2.13","3.29","2.5","2.7","14444"
"Aaron Barrett","Nationals","3","2","3.34","0","55","2","55.0","47","20","4","57","21","1.24","9.33","3.38","3.30","0.3","0.3","11243"
"Charlie Furbush","Mariners","3","2","3.17","0","55","1","55.0","46","19","5","60","19","1.16","9.78","3.03","3.30","0.4","0.5","1370"
"Ian Thomas","Braves","1","1","3.26","0","20","0","20.0","17","7","2","21","8","1.23","9.53","3.39","3.31","0.1","0.1","13881"
"Francisco Liriano","Pirates","11","10","3.53","29","29","0","174.0","151","68","12","178","71","1.27","9.20","3.67","3.31","2.4","1.9","3201"
"Mike Dunn","Marlins","3","3","3.11","0","55","1","55.0","45","19","5","61","22","1.21","9.95","3.55","3.31","0.5","0.5","9948"
"Adam Wainwright","Cardinals","12","10","3.32","29","29","0","195.0","186","72","16","162","43","1.17","7.48","1.96","3.31","2.8","2.8","2233"
"Jerry Sullivan","Padres","0","0","3.37","0","1","0","1.0","1","0","0","1","0","1.23","9.25","3.16","3.31","0.0","0.1","sa501200"
"Cody Hall","Giants","0","0","3.28","0","10","0","10.0","9","4","1","10","4","1.22","8.90","3.19","3.32","0.0","0.0","sa550010"
"Nate Jones","White Sox","1","0","3.36","0","10","0","10.0","8","4","1","11","4","1.23","9.86","3.51","3.32","0.1","0.1","4696"
"Rafael Martin","Nationals","0","0","3.33","0","1","0","1.0","1","0","0","1","0","1.22","9.20","3.17","3.33","0.0","0.1","sa509283"
"Chasen Shreve","Braves","0","0","3.32","0","1","0","1.0","1","0","0","1","0","1.24","9.43","3.44","3.33","0.0","0.1","10855"
"Chris Rearick","Padres","0","0","3.31","0","1","0","1.0","1","0","0","1","0","1.23","9.01","3.11","3.34","0.0","0.1","sa550150"
"Sergio Romo","Giants","3","3","3.17","0","65","6","65.0","58","23","6","60","17","1.15","8.38","2.36","3.36","0.2","0.3","9817"
"Masahiro Tanaka","Yankees","13","10","3.28","32","32","0","203.0","186","74","20","182","41","1.12","8.06","1.81","3.36","3.9","4.1","15764"
"Justin Grimm","Cubs","1","1","3.35","0","25","0","25.0","23","9","2","24","8","1.21","8.73","2.75","3.36","0.2","0.2","11720"
"Garrett Richards","Angels","12","9","3.53","29","29","0","175.0","162","69","13","160","57","1.25","8.21","2.90","3.36","2.7","2.2","9784"
"Adam Ottavino","Rockies","3","2","3.51","0","55","2","55.0","49","21","5","58","18","1.23","9.47","3.00","3.36","0.7","0.6","1247"
"Jose Ascanio","Pirates","0","0","3.37","0","1","0","1.0","1","0","0","1","0","1.22","8.43","2.80","3.36","0.0","0.1","3951"
"Alex Cobb","Rays","12","11","3.48","32","32","0","200.0","186","78","15","177","59","1.22","7.96","2.67","3.37","2.9","2.6","6562"
"Casey Kelly","Padres","1","1","3.41","0","20","0","20.0","18","8","2","19","6","1.21","8.40","2.58","3.37","0.1","0.1","9174"
"Neil Ramirez","Cubs","2","2","3.32","0","45","0","45.0","37","17","4","51","17","1.19","10.20","3.44","3.37","0.3","0.3","7677"
"Jeremy Jeffress","Brewers","2","2","3.46","0","35","0","35.0","31","13","3","36","15","1.29","9.26","3.76","3.37","0.2","0.1","9490"
"Evan Scribner","Athletics","2","1","3.29","0","30","0","30.0","27","11","3","29","8","1.17","8.75","2.51","3.37","0.2","0.2","7525"
"Bobby Parnell","Mets","3","3","3.40","0","65","10","65.0","60","25","5","60","21","1.24","8.29","2.88","3.37","0.1","0.1","9926"
"Jason Ray","Padres","0","0","3.44","0","1","0","1.0","1","0","0","1","0","1.24","9.25","3.33","3.37","0.0","0.1","sa291703"
"Evan Marshall","Diamondbacks","3","3","3.38","0","55","4","55.0","48","21","4","54","20","1.25","8.86","3.31","3.38","0.3","0.3","12297"
"Yimi Garcia","Dodgers","1","1","3.27","0","20","0","20.0","17","7","2","21","7","1.18","9.31","3.02","3.38","0.1","0.1","12095"
"Cliff Lee","Phillies","2","2","3.46","5","5","0","30.0","29","12","3","26","5","1.14","7.86","1.57","3.38","0.5","0.4","1636"
"Brandon McCarthy","Dodgers","10","9","3.41","28","28","0","165.0","161","62","15","133","30","1.16","7.24","1.63","3.38","2.0","2.0","4662"
"Jordan Zimmermann","Nationals","13","9","3.31","31","31","0","190.0","181","70","19","161","36","1.14","7.66","1.69","3.38","3.2","3.0","4505"
"Gerrit Cole","Pirates","11","10","3.57","29","29","0","176.0","163","70","14","162","53","1.22","8.25","2.70","3.39","2.4","1.8","13125"
"Nick Hagadone","Indians","2","2","3.12","0","40","0","40.0","32","14","4","46","17","1.23","10.26","3.75","3.39","0.4","0.4","1351"
"James Shields","Padres","12","12","3.50","32","32","0","210.0","199","82","20","191","50","1.19","8.22","2.15","3.39","2.7","2.1","7059"
"Tyson Ross","Padres","9","10","3.67","28","28","0","166.0","151","68","12","159","60","1.28","8.61","3.27","3.39","1.9","1.2","7872"
"Daniel Hudson","Diamondbacks","2","2","3.32","0","40","0","40.0","35","15","4","40","12","1.19","8.89","2.76","3.39","0.2","0.3","7146"
"Zach Britton","Orioles","3","3","3.23","0","65","35","65.0","59","23","4","57","23","1.27","7.89","3.17","3.39","0.5","0.6","3240"
"Jean Machi","Giants","2","2","3.33","0","40","0","40.0","37","15","3","34","12","1.23","7.76","2.75","3.40","0.0","0.1","3220"
"Mike Broadway","Giants","0","0","3.35","0","1","0","1.0","1","0","0","1","0","1.24","8.67","3.27","3.40","0.0","0.1","sa294379"
"Chris Withrow","Dodgers","0","0","3.36","0","1","0","1.0","1","0","0","1","0","1.24","10.44","4.17","3.40","0.0","0.1","7161"
"Dominic Leone","Mariners","2","2","3.34","0","40","5","40.0","34","15","3","40","15","1.25","8.97","3.46","3.41","0.2","0.3","13763"
"Derek Law","Giants","0","0","3.39","0","1","0","1.0","1","0","0","1","0","1.26","9.11","3.67","3.41","0.0","0.1","sa502368"
"Aaron Poreda","Rangers","0","0","3.39","0","1","0","1.0","1","0","0","1","0","1.24","9.76","3.52","3.41","0.0","0.1","4313"
"Brandon Maurer","Padres","3","3","3.48","0","65","3","65.0","59","25","6","63","20","1.21","8.77","2.74","3.42","0.2","0.1","4878"
"Marcus Stroman","Blue Jays","0","0","3.55","0","0","0","1.0","1","0","0","1","0","1.21","8.14","2.34","3.42","0.0","0.0","13431"
"Cole Hamels","Phillies","11","12","3.48","32","32","0","211.0","190","81","22","205","55","1.16","8.76","2.34","3.42","3.0","2.9","4972"
"Seth Maness","Cardinals","3","3","3.21","0","55","1","55.0","56","20","4","38","11","1.21","6.23","1.76","3.42","0.2","0.3","12235"
"Jim Henderson","Brewers","3","3","3.46","0","55","6","55.0","45","21","6","63","21","1.20","10.27","3.38","3.42","0.4","0.3","6653"
"Josh Fields","Astros","2","2","3.30","0","45","2","45.0","38","17","5","50","16","1.19","10.02","3.15","3.42","0.4","0.4","5070"
"George Kontos","Giants","2","2","3.30","0","35","0","35.0","31","13","3","32","11","1.21","8.27","2.76","3.43","0.1","0.1","9486"
"Blake Treinen","Nationals","2","2","3.45","2","32","0","39.0","39","15","3","31","9","1.24","7.06","2.18","3.43","0.2","0.2","12572"
"Neal Cotts","Brewers","2","1","3.21","0","30","0","30.0","25","11","3","32","11","1.21","9.56","3.24","3.43","0.2","0.2","1797"
"Jeurys Familia","Mets","3","3","3.58","0","55","6","55.0","48","22","4","56","23","1.29","9.15","3.74","3.43","0.1","0.0","5114"
"Jeremy Affeldt","Giants","3","3","3.33","0","55","1","55.0","51","20","3","45","19","1.29","7.41","3.16","3.43","0.0","0.0","583"
"Juan Jaime","Braves","1","2","3.63","0","30","0","30.0","23","12","2","37","17","1.34","11.18","5.19","3.43","0.1","0.1","6127"
"Jake Arrieta","Cubs","11","9","3.56","28","28","0","167.0","149","66","15","164","56","1.23","8.85","3.03","3.44","2.6","2.3","4153"
"Phil Coke","Cubs","1","1","3.44","0","20","0","20.0","18","8","1","19","7","1.28","8.34","3.29","3.44","0.1","0.1","5535"
"Rick VandenHurk","Pirates","0","0","3.47","0","1","0","1.0","1","0","0","1","0","1.22","8.06","2.65","3.44","0.0","0.1","5099"
"Adam Liberatore","Rays","0","0","3.29","0","1","0","1.0","1","0","0","1","0","1.22","9.06","3.29","3.44","0.0","0.1","sa549498"
"Nick Vincent","Padres","2","2","3.37","0","40","0","40.0","35","15","4","40","12","1.20","8.95","2.78","3.45","0.1","0.1","7555"
"Oliver Perez","Diamondbacks","3","3","3.24","0","55","1","55.0","45","20","5","61","22","1.21","10.00","3.58","3.45","0.4","0.4","1514"
"David Hernandez","Diamondbacks","0","0","3.26","0","10","0","10.0","8","4","1","11","3","1.17","9.82","3.12","3.45","0.1","0.1","4259"
"Chris Hatcher","Dodgers","2","2","3.44","0","40","0","40.0","35","15","4","39","13","1.20","8.73","2.85","3.45","0.1","0.1","3299"
"Kevin Siegrist","Cardinals","2","2","3.22","0","45","1","45.0","36","16","4","50","19","1.23","10.02","3.86","3.45","0.3","0.2","8180"
"Luke Hochevar","Royals","3","3","3.28","0","55","2","55.0","48","20","5","52","15","1.16","8.58","2.49","3.45","0.4","0.5","6943"
"Joe Smith","Angels","3","3","3.42","0","65","4","65.0","61","25","5","55","20","1.25","7.67","2.75","3.46","0.2","0.3","3281"
"Anthony Carter","Padres","0","0","3.52","0","1","0","1.0","1","0","0","1","0","1.26","8.96","3.28","3.46","0.0","0.1","sa302341"
"Leonel Campos","Padres","1","1","3.63","0","15","0","15.0","12","6","1","17","7","1.32","10.24","4.49","3.46","0.0","-0.1","12277"
"Hisashi Iwakuma","Mariners","13","10","3.44","32","32","0","201.0","196","77","20","163","39","1.17","7.31","1.74","3.46","3.0","3.0","13048"
"Jeff Beliveau","Rays","2","2","3.26","0","35","0","35.0","29","13","3","37","14","1.24","9.54","3.68","3.46","0.2","0.2","8504"
"Alex Wood","Braves","10","11","3.54","29","29","0","180.0","165","71","17","171","56","1.23","8.58","2.80","3.46","2.3","2.3","13781"
"Ryne Harper","Braves","0","0","3.51","0","1","0","1.0","1","0","0","1","0","1.26","8.97","3.30","3.47","0.0","0.1","sa599485"
"Eric Jokisch","Cubs","0","0","3.42","0","1","0","1.0","1","0","0","1","0","1.20","7.89","2.32","3.48","0.0","0.1","11157"
"Ryan Cook","Athletics","3","3","3.43","0","65","3","65.0","56","25","5","65","25","1.25","8.95","3.52","3.48","0.3","0.4","8855"
"Samuel Tuivailala","Cardinals","2","1","3.48","0","30","0","30.0","24","12","2","34","15","1.29","10.26","4.47","3.48","0.1","0.0","13485"
"Joel Peralta","Dodgers","3","2","3.14","0","55","3","55.0","46","19","6","58","17","1.14","9.44","2.77","3.48","0.2","0.3","2332"
"Buddy Carlyle","Mets","0","0","3.51","0","1","0","1.0","1","0","0","1","0","1.21","8.75","2.72","3.48","0.0","0.1","2010"
"Johnny Cueto","Reds","12","11","3.30","31","31","0","204.0","181","75","21","194","54","1.16","8.57","2.41","3.48","3.0","3.4","6893"
"Noah Syndergaard","Mets","6","6","3.60","16","16","0","92.0","83","37","9","90","29","1.22","8.80","2.81","3.48","1.1","0.9","sa548169"
"Kevin Thomas","Cardinals","0","0","3.39","0","1","0","1.0","1","0","0","1","0","1.23","8.55","3.13","3.49","0.0","0.1","sa455028"
"Duke Welker","Pirates","0","0","3.55","0","1","0","1.0","1","0","0","1","0","1.30","9.21","3.92","3.49","0.0","0.1","792"
"Miguel Socolovich","Cubs","0","0","3.51","0","1","0","1.0","1","0","0","1","0","1.24","8.90","3.17","3.49","0.0","0.1","6697"
"Drew Storen","Nationals","3","3","3.48","0","65","32","65.0","61","25","6","58","19","1.22","7.99","2.60","3.49","0.2","0.2","6983"
"Paco Rodriguez","Dodgers","1","1","3.27","0","25","0","25.0","21","9","2","26","11","1.25","9.37","3.79","3.50","0.0","0.1","13398"
"Manny Banuelos","Braves","2","2","3.45","0","35","0","35.0","31","13","3","35","14","1.27","9.07","3.49","3.50","0.1","0.1","sa455894"
"Luis Mateo","Mets","0","0","3.50","0","1","0","1.0","1","0","0","1","0","1.24","8.89","3.17","3.50","0.0","0.1","sa597557"
"Robbie Erlin","Padres","2","2","3.51","2","27","0","34.0","32","13","3","30","9","1.21","7.94","2.37","3.50","0.1","0.0","10354"
"Carlos Torres","Mets","2","2","3.48","0","40","0","40.0","36","15","4","38","12","1.22","8.66","2.75","3.50","0.1","0.0","7624"
"Steve Geltz","Rays","1","1","3.42","0","20","0","20.0","17","8","2","22","8","1.24","9.75","3.71","3.50","0.1","0.1","8402"
"Santiago Casilla","Giants","3","3","3.45","0","65","31","65.0","59","25","5","58","24","1.28","7.97","3.29","3.50","0.1","-0.1","2873"
"Steven Okert","Giants","0","0","3.39","0","1","0","1.0","1","0","0","1","0","1.28","8.91","3.78","3.50","0.0","0.1","sa550187"
"Brandon Finnegan","Royals","2","1","3.26","0","30","0","30.0","26","11","3","29","11","1.22","8.65","3.22","3.50","0.2","0.3","16208"
"Anibal Sanchez","Tigers","11","9","3.66","28","28","0","166.0","156","67","16","145","43","1.20","7.87","2.32","3.50","2.8","2.6","3284"
"Drew Rucinski","Angels","1","1","3.44","0","15","0","15.0","14","6","1","13","4","1.20","7.95","2.44","3.51","0.1","0.1","12499"
"Al Alburquerque","Tigers","3","3","3.64","0","55","1","55.0","46","22","5","60","24","1.27","9.78","3.91","3.51","0.3","0.3","6324"
"Alex Torres","Padres","3","3","3.58","0","55","1","55.0","46","22","4","59","26","1.31","9.67","4.31","3.51","0.0","0.0","7038"
