name,url,team,pos,owner,orank,rank,owned
Clayton Kershaw,http://sports.yahoo.com/mlb/players/8180,LAD,SP,Daddy W,3,1,99%
Felix Hernandez,http://sports.yahoo.com/mlb/players/7487,Sea,SP,The Alliance,13,4,99%
Max Scherzer,http://sports.yahoo.com/mlb/players/8193,Was,SP,King of Chardonnay,16,41,99%
Chris Sale,http://sports.yahoo.com/mlb/players/8780,CWS,SP,The Gladiators,20,18,99%
Stephen Strasburg,http://sports.yahoo.com/mlb/players/8562,Was,SP,King of Chardonnay,25,48,99%
Madison Bumgarner,http://sports.yahoo.com/mlb/players/8590,SF,SP,JeRsEy FU's,26,28,99%
David Price,http://sports.yahoo.com/mlb/players/8175,Det,SP,A-Rods Dope Supplier,35,30,99%
Yu Darvish,http://sports.yahoo.com/mlb/players/9095,Tex,SP,Slow Rollers,36,148,99%
Zack Greinke,http://sports.yahoo.com/mlb/players/7257,LAD,SP,Stoolies,38,35,99%
Corey Kluber,http://sports.yahoo.com/mlb/players/9048,Cle,SP,Dugo's Way,39,12,99%
Jon Lester,http://sports.yahoo.com/mlb/players/7790,ChC,SP,Stoolies,43,19,99%
Cole Hamels,http://sports.yahoo.com/mlb/players/7509,Phi,SP,Dugo's Way,44,67,98%
Adam Wainwright,http://sports.yahoo.com/mlb/players/7048,StL,SP,BeAsT mOdE,49,14,99%
Jordan Zimmermann,http://sports.yahoo.com/mlb/players/8400,Was,SP,Stoolies,51,40,99%
Johnny Cueto,http://sports.yahoo.com/mlb/players/8172,Cin,SP,Stiinta Craiova,52,3,99%
Aroldis Chapman,http://sports.yahoo.com/mlb/players/8616,Cin,RP,King of Chardonnay,61,93,99%
Craig Kimbrel,http://sports.yahoo.com/mlb/players/8622,Atl,RP,King of Chardonnay,62,63,99%
Kenley Jansen,http://sports.yahoo.com/mlb/players/8758,LAD,RP,D's Ballers,68,107,97%
Greg Holland,http://sports.yahoo.com/mlb/players/8773,KC,RP,Team autodraft IV,69,57,99%
Julio Teheran,http://sports.yahoo.com/mlb/players/8846,Atl,SP,The Gladiators,71,47,98%
Alex Cobb,http://sports.yahoo.com/mlb/players/8918,TB,SP,Team autodraft IV,73,124,97%
Matt Harvey,http://sports.yahoo.com/mlb/players/9245,NYM,SP,Dugo's Way,74,-,98%
Hisashi Iwakuma,http://sports.yahoo.com/mlb/players/9092,Sea,SP,FA,77,100,97%
James Shields,http://sports.yahoo.com/mlb/players/7779,SD,SP,BeAsT mOdE,83,115,98%
Sonny Gray,http://sports.yahoo.com/mlb/players/9459,Oak,SP,Stiinta Craiova,85,112,97%
Jeff Samardzija,http://sports.yahoo.com/mlb/players/8281,CWS,SP,Stiinta Craiova,88,83,98%
Jake Arrieta,http://sports.yahoo.com/mlb/players/8623,ChC,SP,The Alliance,89,53,96%
David Robertson,http://sports.yahoo.com/mlb/players/8287,CWS,RP,The Gladiators,91,109,98%
Alex Wood,http://sports.yahoo.com/mlb/players/9415,Atl,SP/RP,Stiinta Craiova,92,99,97%
Gerrit Cole,http://sports.yahoo.com/mlb/players/9121,Pit,SP,Daddy W,94,198,95%
Gio Gonzalez,http://sports.yahoo.com/mlb/players/8179,Was,SP,FA,97,184,95%
Mark Melancon,http://sports.yahoo.com/mlb/players/8458,Pit,RP,JeRsEy FU's,98,82,97%
Dellin Betances,http://sports.yahoo.com/mlb/players/9063,NYY,RP,King of Chardonnay,100,61,96%
Tyson Ross,http://sports.yahoo.com/mlb/players/8699,SD,SP,King of Chardonnay,102,88,94%
Trevor Rosenthal,http://sports.yahoo.com/mlb/players/9240,StL,RP,Stiinta Craiova,108,163,96%
Anibal Sanchez,http://sports.yahoo.com/mlb/players/7701,Det,SP,Team autodraft IV,109,207,92%
Cliff Lee,http://sports.yahoo.com/mlb/players/7026,Phi,SP,FA,110,466,92%
Jacob deGrom,http://sports.yahoo.com/mlb/players/9701,NYM,SP,Dugo's Way,112,127,93%
Cody Allen,http://sports.yahoo.com/mlb/players/9243,Cle,RP,D's Ballers,114,110,93%
Koji Uehara,http://sports.yahoo.com/mlb/players/8394,Bos,RP,FA,116,108,94%
Masahiro Tanaka,http://sports.yahoo.com/mlb/players/9642,NYY,SP,The Gladiators,119,80,95%
Carlos Carrasco,http://sports.yahoo.com/mlb/players/8185,Cle,SP/RP,BeAsT mOdE,124,90,91%
Drew Storen,http://sports.yahoo.com/mlb/players/8618,Was,RP,Stoolies,125,186,92%
Hyun-jin Ryu,http://sports.yahoo.com/mlb/players/9317,LAD,SP,FA,128,144,92%
Garrett Richards,http://sports.yahoo.com/mlb/players/9012,LAA,SP,FA,129,50,91%
Glen Perkins,http://sports.yahoo.com/mlb/players/7711,Min,RP,Daddy W,138,173,90%
Phil Hughes,http://sports.yahoo.com/mlb/players/7913,Min,SP,Rain On 'Em,140,102,89%
Andrew Cashner,http://sports.yahoo.com/mlb/players/8627,SD,SP,The Gladiators,141,197,88%
Huston Street,http://sports.yahoo.com/mlb/players/7468,LAA,RP,Daddy W,142,87,92%
Steve Cishek,http://sports.yahoo.com/mlb/players/8836,Mia,RP,Stoolies,146,135,91%
Chris Archer,http://sports.yahoo.com/mlb/players/8849,TB,SP,D's Ballers,147,208,88%
Homer Bailey,http://sports.yahoo.com/mlb/players/7944,Cin,SP,FA,148,268,84%
Lance Lynn,http://sports.yahoo.com/mlb/players/8650,StL,SP,Rain On 'Em,149,101,92%
Mat Latos,http://sports.yahoo.com/mlb/players/8529,Mia,SP,The Alliance,152,292,88%
Joaquin Benoit,http://sports.yahoo.com/mlb/players/6659,SD,RP,Stiinta Craiova,156,141,85%
Fernando Rodney,http://sports.yahoo.com/mlb/players/6922,Sea,RP,Team autodraft IV,157,147,92%
Doug Fister,http://sports.yahoo.com/mlb/players/8554,Was,SP,BeAsT mOdE,158,65,90%
Jonathan Papelbon,http://sports.yahoo.com/mlb/players/7614,Phi,RP,Stiinta Craiova,160,97,89%
Yordano Ventura,http://sports.yahoo.com/mlb/players/9422,KC,SP,JeRsEy FU's,161,170,89%
Michael Wacha,http://sports.yahoo.com/mlb/players/9329,StL,SP,JeRsEy FU's,164,282,87%
Ian Kennedy,http://sports.yahoo.com/mlb/players/8099,SD,SP,The Alliance,165,181,87%
Marcus Stroman,http://sports.yahoo.com/mlb/players/9637,Tor,SP/RP,King of Chardonnay,169,205,85%
Francisco Liriano,http://sports.yahoo.com/mlb/players/7504,Pit,SP,Stiinta Craiova,176,243,82%
Santiago Casilla,http://sports.yahoo.com/mlb/players/7401,SF,RP,D's Ballers,177,149,83%
Justin Verlander,http://sports.yahoo.com/mlb/players/7590,Det,SP,The Gladiators,181,596,93%
Hector Rondon,http://sports.yahoo.com/mlb/players/8631,ChC,RP,The Alliance,184,140,85%
Zach Britton,http://sports.yahoo.com/mlb/players/8771,Bal,RP,The Gladiators,185,77,89%
Jered Weaver,http://sports.yahoo.com/mlb/players/7708,LAA,SP,Team autodraft IV,189,136,89%
Jose Quintana,http://sports.yahoo.com/mlb/players/9176,CWS,SP,The Gladiators,190,190,80%
Drew Smyly,http://sports.yahoo.com/mlb/players/9140,TB,SP,Slow Rollers,194,177,80%
