name,team,age,year,rk,mlb_id
Jurickson Profar,ss/2b,Rangers,2013,1,595777
Dylan Bundy,rhp,Orioles,2013,2,605164
Oscar Taveras,of,Cardinals,2013,3,570805
Wil Myers,of/3b,Rays,2013,4,571976
Jose Fernandez,rhp,Marlins,2013,5,605228
Shelby Miller,rhp,Cardinals,2013,6,571946
Gerrit Cole,rhp,Pirates,2013,7,543037
Xander Bogaerts,ss,Red Sox,2013,8,593428
Miguel Sano,3b,Twins,2013,9,593934
Byron Buxton,of,Twins,2013,10,621439
Zack Wheeler,rhp,Mets,2013,11,554430
Tyler Skaggs,lhp,Diamondbacks,2013,12,572140
Carlos Correa,ss,Astros,2013,13,621043
Trevor Bauer,rhp,Indians,2013,14,545333
Christian Yelich,of,Marlins,2013,15,592885
Javier Baez,ss,Cubs,2013,16,595879
Mike Zunino,c,Mariners,2013,17,572287
Taijuan Walker,rhp,Mariners,2013,18,592836
Jameson Taillon,rhp,Pirates,2013,19,592791
Billy Hamilton,of/ss,Reds,2013,20,571740
Nick Castellanos,3b/of,Tigers,2013,21,592206
Mike Olt,3b/1b,Rangers,2013,22,592609
Travis d'Arnaud,c,Mets,2013,23,518595
Kyle Zimmer,rhp,Royals,2013,24,622092
Archie Bradley,rhp,Diamondbacks,2013,25,605151
Kevin Gausman,rhp,Orioles,2013,26,592332
Jonathan Singleton,1b/of,Astros,2013,27,572138
Francisco Lindor,ss,Indians,2013,28,596019
Danny Hultzen,lhp,Mariners,2013,29,543343
Anthony Rendon,3b,Nationals,2013,30,543685
Jackie Bradley,of,Red Sox,2013,31,598265
Mason Williams,of,Yankees,2013,32,592863
Albert Almora,of,Cubs,2013,33,546991
Jorge Soler,of,Cubs,2013,34,624585
Bubba Starling,of,Royals,2013,35,605490
Chris Archer,rhp,Rays,2013,36,502042
George Springer,of,Astros,2013,37,543807
Carlos Martinez,rhp,Cardinals,2013,38,593372
Trevor Rosenthal,rhp,Cardinals,2013,39,572096
Matt Barnes,rhp,Red Sox,2013,40,598264
Oswaldo Arcia,of,Twins,2013,41,542455
Hyun-Jin Ryu,lhp,Dodgers,2013,42,547943
Andrew Heaney,lhp,Marlins,2013,43,571760
Julio Teheran,rhp,Braves,2013,44,527054
Casey Kelly,rhp,Padres,2013,45,543391
Max Fried,lhp,Padres,2013,46,608331
Yasiel Puig,of,Dodgers,2013,47,624577
Addison Russell,ss,Athletics,2013,48,608365
Allen Webster,rhp,Red Sox,2013,49,543903
Lance McCullers Jr.,rhp,Astros,2013,50,621121
Gregory Polanco,of,Pirates,2013,51,570256
Nolan Arenado,3b,Rockies,2013,52,571448
David Dahl,of,Rockies,2013,53,621311
Noah Syndergaard,rhp,Mets,2013,54,592789
Courtney Hawkins,of,White Sox,2013,55,621445
Robert Stephenson,rhp,Reds,2013,56,596112
Gary Sanchez,c,Yankees,2013,57,596142
Austin Hedges,c,Padres,2013,58,595978
Alex Meyer,rhp,Twins,2013,59,543542
Kaleb Cowart,3b,Angels,2013,60,592230
Alen Hanson,ss,Pirates,2013,61,593700
Taylor Guerrieri,rhp,Rays,2013,62,605260
Slade Heathcott,of,Yankees,2013,63,571761
Jake Marisnick,of,Marlins,2013,64,545350
Aaron Sanchez,rhp,Blue Jays,2013,65,592717
Kyle Crick,rhp,Giants,2013,66,605195
Lucas Giolito,rhp,Nationals,2013,67,608337
Kyle Gibson,rhp,Twins,2013,68,502043
Wily Peralta,rhp,Brewers,2013,69,503449
Brian Goodwin,of,Nationals,2013,70,571718
Jedd Gyorko,3b/2b,Padres,2013,71,576397
Aaron Hicks,of,Twins,2013,72,543305
Adam Eaton,of,Diamondbacks,2013,73,594809
Avisail Garcia,of,Tigers,2013,74,541645
Marcell Ozuna,of,Marlins,2013,75,542303
Michael Wacha,rhp,Cardinals,2013,76,608379
Tyler Austin,of,Yankees,2013,77,592122
Luis Heredia,rhp,Pirates,2013,78,599093
Nick Franklin,ss/2b,Mariners,2013,79,545338
