yyyymmdd,team,oppt,is_home
20150405,LAA,,
20150406,LAA,SEA,0
20150407,LAA,SEA,0
20150408,LAA,SEA,0
20150409,LAA,,
20150410,LAA,KC,1
20150411,LAA,KC,1
20150412,LAA,KC,1
20150413,LAA,TEX,0
20150414,LAA,TEX,0
20150415,LAA,TEX,0
20150416,LAA,,
20150417,LAA,HOU,0
20150418,LAA,HOU,0
20150419,LAA,HOU,0
20150420,LAA,OAK,1
20150421,LAA,OAK,1
20150422,LAA,OAK,1
20150423,LAA,OAK,1
20150424,LAA,TEX,1
20150425,LAA,TEX,1
20150426,LAA,TEX,1
20150427,LAA,,
20150428,LAA,OAK,0
20150429,LAA,OAK,0
20150430,LAA,OAK,0
20150501,LAA,SF,0
20150502,LAA,SF,0
20150503,LAA,SF,0
20150504,LAA,SEA,1
20150505,LAA,SEA,1
20150506,LAA,SEA,1
20150507,LAA,HOU,1
20150508,LAA,HOU,1
20150509,LAA,HOU,1
20150510,LAA,HOU,1
20150511,LAA,,
20150512,LAA,COL,1
20150513,LAA,COL,1
20150514,LAA,,
20150515,LAA,BAL,0
20150516,LAA,BAL,0
20150517,LAA,BAL,0
20150518,LAA,TOR,0
20150519,LAA,TOR,0
20150520,LAA,TOR,0
20150521,LAA,TOR,0
20150522,LAA,BOS,0
20150523,LAA,BOS,0
20150524,LAA,BOS,0
20150525,LAA,SD,1
20150526,LAA,SD,1
20150527,LAA,SD,1
20150528,LAA,DET,1
20150529,LAA,DET,1
20150530,LAA,DET,1
20150531,LAA,DET,1
20150601,LAA,TB,1
20150602,LAA,TB,1
20150603,LAA,TB,1
20150604,LAA,,
20150605,LAA,NYY,0
20150606,LAA,NYY,0
20150607,LAA,NYY,0
20150608,LAA,,
20150609,LAA,TB,0
20150610,LAA,TB,0
20150611,LAA,TB,0
20150612,LAA,OAK,1
20150613,LAA,OAK,1
20150614,LAA,OAK,1
20150615,LAA,ARI,1
20150616,LAA,ARI,1
20150617,LAA,ARI,0
20150618,LAA,ARI,0
20150619,LAA,OAK,0
20150620,LAA,OAK,0
20150621,LAA,OAK,0
20150622,LAA,HOU,1
20150623,LAA,HOU,1
20150624,LAA,HOU,1
20150625,LAA,,
20150626,LAA,SEA,1
20150627,LAA,SEA,1
20150628,LAA,SEA,1
20150629,LAA,NYY,1
20150630,LAA,NYY,1
20150701,LAA,NYY,1
20150702,LAA,,
20150703,LAA,TEX,0
20150704,LAA,TEX,0
20150705,LAA,TEX,0
20150706,LAA,,
20150707,LAA,COL,0
20150708,LAA,COL,0
20150709,LAA,SEA,0
20150710,LAA,SEA,0
20150711,LAA,SEA,0
20150712,LAA,SEA,0
20150713,LAA,,
20150714,LAA,,
20150715,LAA,,
20150716,LAA,,
20150717,LAA,BOS,1
20150718,LAA,BOS,1
20150719,LAA,BOS,1
20150720,LAA,BOS,1
20150721,LAA,MIN,1
20150722,LAA,MIN,1
20150723,LAA,MIN,1
20150724,LAA,TEX,1
20150725,LAA,TEX,1
20150726,LAA,TEX,1
20150727,LAA,,
20150728,LAA,HOU,0
20150729,LAA,HOU,0
20150730,LAA,HOU,0
20150731,LAA,LAD,0
20150801,LAA,LAD,0
20150802,LAA,LAD,0
20150803,LAA,CLE,1
20150804,LAA,CLE,1
20150805,LAA,CLE,1
20150806,LAA,,
20150807,LAA,BAL,1
20150808,LAA,BAL,1
20150809,LAA,BAL,1
20150810,LAA,CWS,0
20150811,LAA,CWS,0
20150812,LAA,CWS,0
20150813,LAA,KC,0
20150814,LAA,KC,0
20150815,LAA,KC,0
20150816,LAA,KC,0
20150817,LAA,CWS,1
20150818,LAA,CWS,1
20150819,LAA,CWS,1
20150820,LAA,CWS,1
20150821,LAA,TOR,1
20150822,LAA,TOR,1
20150823,LAA,TOR,1
20150824,LAA,,
20150825,LAA,DET,0
20150826,LAA,DET,0
20150827,LAA,DET,0
20150828,LAA,CLE,0
20150829,LAA,CLE,0
20150830,LAA,CLE,0
20150831,LAA,OAK,0
20150901,LAA,OAK,0
20150902,LAA,OAK,0
20150903,LAA,,
20150904,LAA,TEX,1
20150905,LAA,TEX,1
20150906,LAA,TEX,1
20150907,LAA,LAD,1
20150908,LAA,LAD,1
20150909,LAA,LAD,1
20150910,LAA,,
20150911,LAA,HOU,1
20150912,LAA,HOU,1
20150913,LAA,HOU,1
20150914,LAA,SEA,0
20150915,LAA,SEA,0
20150916,LAA,SEA,0
20150917,LAA,MIN,0
20150918,LAA,MIN,0
20150919,LAA,MIN,0
20150920,LAA,MIN,0
20150921,LAA,HOU,0
20150922,LAA,HOU,0
20150923,LAA,HOU,0
20150924,LAA,,
20150925,LAA,SEA,1
20150926,LAA,SEA,1
20150927,LAA,SEA,1
20150928,LAA,OAK,1
20150929,LAA,OAK,1
20150930,LAA,OAK,1
20151001,LAA,TEX,0
20151002,LAA,TEX,0
20151003,LAA,TEX,0
20151004,LAA,TEX,0
20150405,BAL,,
20150406,BAL,TB,0
20150407,BAL,TB,0
20150408,BAL,TB,0
20150409,BAL,,
20150410,BAL,TOR,1
20150411,BAL,TOR,1
20150412,BAL,TOR,1
20150413,BAL,NYY,1
20150414,BAL,NYY,1
20150415,BAL,NYY,1
20150416,BAL,,
20150417,BAL,BOS,0
20150418,BAL,BOS,0
20150419,BAL,BOS,0
20150420,BAL,BOS,0
20150421,BAL,TOR,0
20150422,BAL,TOR,0
20150423,BAL,TOR,0
20150424,BAL,BOS,1
20150425,BAL,BOS,1
20150426,BAL,BOS,1
20150427,BAL,CWS,1
20150428,BAL,CWS,1
20150429,BAL,CWS,1
20150430,BAL,,
20150501,BAL,TB,1
20150502,BAL,TB,1
20150503,BAL,TB,1
20150504,BAL,,
20150505,BAL,NYM,0
20150506,BAL,NYM,0
20150507,BAL,NYY,0
20150508,BAL,NYY,0
20150509,BAL,NYY,0
20150510,BAL,NYY,0
20150511,BAL,TOR,1
20150512,BAL,TOR,1
20150513,BAL,TOR,1
20150514,BAL,,
20150515,BAL,LAA,1
20150516,BAL,LAA,1
20150517,BAL,LAA,1
20150518,BAL,,
20150519,BAL,SEA,1
20150520,BAL,SEA,1
20150521,BAL,SEA,1
20150522,BAL,MIA,0
20150523,BAL,MIA,0
20150524,BAL,MIA,0
20150525,BAL,HOU,1
20150526,BAL,HOU,1
20150527,BAL,HOU,1
20150528,BAL,,
20150529,BAL,TB,1
20150530,BAL,TB,1
20150531,BAL,TB,1
20150601,BAL,HOU,0
20150602,BAL,HOU,0
20150603,BAL,HOU,0
20150604,BAL,HOU,0
20150605,BAL,CLE,0
20150606,BAL,CLE,0
20150607,BAL,CLE,0
20150608,BAL,,
20150609,BAL,BOS,1
20150610,BAL,BOS,1
20150611,BAL,BOS,1
20150612,BAL,NYY,1
20150613,BAL,NYY,1
20150614,BAL,NYY,1
20150615,BAL,PHI,1
20150616,BAL,PHI,1
20150617,BAL,PHI,0
20150618,BAL,PHI,0
20150619,BAL,TOR,0
20150620,BAL,TOR,0
20150621,BAL,TOR,0
20150622,BAL,,
20150623,BAL,BOS,0
20150624,BAL,BOS,0
20150625,BAL,BOS,0
20150626,BAL,CLE,1
20150627,BAL,CLE,1
20150628,BAL,CLE,1
20150629,BAL,TEX,1
20150630,BAL,TEX,1
20150701,BAL,TEX,1
20150702,BAL,TEX,1
20150703,BAL,CWS,0
20150704,BAL,CWS,0
20150705,BAL,CWS,0
20150706,BAL,MIN,0
20150707,BAL,MIN,0
20150708,BAL,MIN,0
20150709,BAL,,
20150710,BAL,WSH,1
20150711,BAL,WSH,1
20150712,BAL,WSH,1
20150713,BAL,,
20150714,BAL,,
20150715,BAL,,
20150716,BAL,,
20150717,BAL,DET,0
20150718,BAL,DET,0
20150719,BAL,DET,0
20150720,BAL,,
20150721,BAL,NYY,0
20150722,BAL,NYY,0
20150723,BAL,NYY,0
20150724,BAL,TB,0
20150725,BAL,TB,0
20150726,BAL,TB,0
20150727,BAL,ATL,1
20150728,BAL,ATL,1
20150729,BAL,ATL,1
20150730,BAL,DET,1
20150731,BAL,DET,1
20150801,BAL,DET,1
20150802,BAL,DET,1
20150803,BAL,OAK,0
20150804,BAL,OAK,0
20150805,BAL,OAK,0
20150806,BAL,,
20150807,BAL,LAA,0
20150808,BAL,LAA,0
20150809,BAL,LAA,0
20150810,BAL,SEA,0
20150811,BAL,SEA,0
20150812,BAL,SEA,0
20150813,BAL,,
20150814,BAL,OAK,1
20150815,BAL,OAK,1
20150816,BAL,OAK,1
20150817,BAL,OAK,1
20150818,BAL,NYM,1
20150819,BAL,NYM,1
20150820,BAL,MIN,1
20150821,BAL,MIN,1
20150822,BAL,MIN,1
20150823,BAL,MIN,1
20150824,BAL,KC,0
20150825,BAL,KC,0
20150826,BAL,KC,0
20150827,BAL,KC,0
20150828,BAL,TEX,0
20150829,BAL,TEX,0
20150830,BAL,TEX,0
20150831,BAL,TB,1
20150901,BAL,TB,1
20150902,BAL,TB,1
20150903,BAL,,
20150904,BAL,TOR,0
20150905,BAL,TOR,0
20150906,BAL,TOR,0
20150907,BAL,NYY,0
20150908,BAL,NYY,0
20150909,BAL,NYY,0
20150910,BAL,,
20150911,BAL,KC,1
20150912,BAL,KC,1
20150913,BAL,KC,1
20150914,BAL,BOS,1
20150915,BAL,BOS,1
20150916,BAL,BOS,1
20150917,BAL,TB,0
20150918,BAL,TB,0
20150919,BAL,TB,0
20150920,BAL,TB,0
20150921,BAL,WSH,0
20150922,BAL,WSH,0
20150923,BAL,WSH,0
20150924,BAL,,
20150925,BAL,BOS,0
20150926,BAL,BOS,0
20150927,BAL,BOS,0
20150928,BAL,TOR,1
20150929,BAL,TOR,1
20150930,BAL,TOR,1
20151001,BAL,TOR,1
20151002,BAL,NYY,1
20151003,BAL,NYY,1
20151004,BAL,NYY,1
20150405,BOS,,
20150406,BOS,PHI,0
20150407,BOS,,
20150408,BOS,PHI,0
20150409,BOS,PHI,0
20150410,BOS,NYY,0
20150411,BOS,NYY,0
20150412,BOS,NYY,0
20150413,BOS,WSH,1
20150414,BOS,WSH,1
20150415,BOS,WSH,1
20150416,BOS,,
20150417,BOS,BAL,1
20150418,BOS,BAL,1
20150419,BOS,BAL,1
20150420,BOS,BAL,1
20150421,BOS,TB,0
20150422,BOS,TB,0
20150423,BOS,TB,0
20150424,BOS,BAL,0
20150425,BOS,BAL,0
20150426,BOS,BAL,0
20150427,BOS,TOR,1
20150428,BOS,TOR,1
20150429,BOS,TOR,1
20150430,BOS,,
20150501,BOS,NYY,1
20150502,BOS,NYY,1
20150503,BOS,NYY,1
20150504,BOS,TB,1
20150505,BOS,TB,1
20150506,BOS,TB,1
20150507,BOS,,
20150508,BOS,TOR,0
20150509,BOS,TOR,0
20150510,BOS,TOR,0
20150511,BOS,OAK,0
20150512,BOS,OAK,0
20150513,BOS,OAK,0
20150514,BOS,SEA,0
20150515,BOS,SEA,0
20150516,BOS,SEA,0
20150517,BOS,SEA,0
20150518,BOS,,
20150519,BOS,TEX,1
20150520,BOS,TEX,1
20150521,BOS,TEX,1
20150522,BOS,LAA,1
20150523,BOS,LAA,1
20150524,BOS,LAA,1
20150525,BOS,MIN,0
20150526,BOS,MIN,0
20150527,BOS,MIN,0
20150528,BOS,TEX,0
20150529,BOS,TEX,0
20150530,BOS,TEX,0
20150531,BOS,TEX,0
20150601,BOS,MIN,1
20150602,BOS,MIN,1
20150603,BOS,MIN,1
20150604,BOS,MIN,1
20150605,BOS,OAK,1
20150606,BOS,OAK,1
20150607,BOS,OAK,1
20150608,BOS,,
20150609,BOS,BAL,0
20150610,BOS,BAL,0
20150611,BOS,BAL,0
20150612,BOS,TOR,1
20150613,BOS,TOR,1
20150614,BOS,TOR,1
20150615,BOS,ATL,1
20150616,BOS,ATL,1
20150617,BOS,ATL,0
20150618,BOS,ATL,0
20150619,BOS,KC,0
20150620,BOS,KC,0
20150621,BOS,KC,0
20150622,BOS,,
20150623,BOS,BAL,1
20150624,BOS,BAL,1
20150625,BOS,BAL,1
20150626,BOS,TB,0
20150627,BOS,TB,0
20150628,BOS,TB,0
20150629,BOS,TOR,0
20150630,BOS,TOR,0
20150701,BOS,TOR,0
20150702,BOS,TOR,0
20150703,BOS,HOU,1
20150704,BOS,HOU,1
20150705,BOS,HOU,1
